Car_Name,Low_Price,MPG,Seats,Cargo_Space,Compact/Comfort,Off-Road,Fuel_Type,APR,APR-months,lease,lease-months,lease-initial
Corolla,22725,35,5,13.1,Compact,No,Gasoline,4.99,72,199,39,3999
Camry,35525,46,5,15.1,Comfort,AWD,Hybrid,4.99,72,279,39,3999
RAV4,39505,28,5,37.5,Comfort/Compact,AWD,Gasoline,4.75,72,299,39,3999
Prius,28550,57,5,23.8,Compact,No,Hybrid,,,,,
Tacoma,39420,21,2,,Comfort/Off-Road,AWD,Gasoline,3.99,72,,,
Highlander,47340,24,7,48.4,Comfort,AWD,Gasoline,,,,,
Grand Highlander,44130,24,7,97.5,Comfort,FWD,Gasoline,,,,,
Tundra,57860,19,5,,Comfort/Off-Road,Yes,Gasoline,2.99,72,499,39,4999
Corolla Hybrid,28415,44,5,13.1,Compact,AWD,Hybrid,4.99,72,,,
4Runner,41570,22,7,,Off-Road,Yes,Gasoline,,,,,
 Rav4 Hybrid,38510,39,5,37.5,Comfort/Compact,AWD,Hybrid,,,,,
Corolla Cross,24935,32,5,24,Comfort,FWD,Gasoline,,,,,
Corolla Cross Hybrid,33330,42,5,21.5,Comfort,AWD,Hybrid,,,,,